Organization,VSYS,type,size(GB)
PINN8HU0,PINN8HU0-GXKOSXOGX,sysvol,7
PINN8HU0,PINN8HU0-GXKOSXOGX,Total,7
PINN8HU0,-,Total,0
Y7R8RCX2,Y7R8RCX2-IZIG34O5G,sysvol,24
Y7R8RCX2,Y7R8RCX2-IZIG34O5G,BACKUP,10
Y7R8RCX2,Y7R8RCX2-IZIG34O5G,Total,34
Y7R8RCX2,Y7R8RCX2-M2BGII535,sysvol,67
Y7R8RCX2,Y7R8RCX2-M2BGII535,Total,67
Y7R8RCX2,-,Total,0
L6WSO2JB,L6WSO2JB-ZFYP9EIVN,sysvol,0
L6WSO2JB,L6WSO2JB-ZFYP9EIVN,Total,0
L6WSO2JB,L6WSO2JB-S8RGJQCJV,sysvol,0
L6WSO2JB,L6WSO2JB-S8RGJQCJV,Total,0
L6WSO2JB,L6WSO2JB-DTC76HRLK,sysvol,7
L6WSO2JB,L6WSO2JB-DTC76HRLK,Total,7
L6WSO2JB,-,Total,0
MYE9STFT,MYE9STFT-Q7VSZXVNS,sysvol,17
MYE9STFT,MYE9STFT-Q7VSZXVNS,Total,17
MYE9STFT,MYE9STFT-BSF3CO77G,sysvol,57
MYE9STFT,MYE9STFT-BSF3CO77G,BACKUP,10
MYE9STFT,MYE9STFT-BSF3CO77G,Total,67
MYE9STFT,MYE9STFT-S9WJQZDWK,sysvol,17
MYE9STFT,MYE9STFT-S9WJQZDWK,Total,17
MYE9STFT,MYE9STFT-GXLHDXAWO,sysvol,34
MYE9STFT,MYE9STFT-GXLHDXAWO,Total,34
MYE9STFT,MYE9STFT-XE1RIH1NE,sysvol,47
MYE9STFT,MYE9STFT-XE1RIH1NE,Total,47
MYE9STFT,MYE9STFT-R8WSI32LO,sysvol,17
MYE9STFT,MYE9STFT-R8WSI32LO,EX_DISK,100
MYE9STFT,MYE9STFT-R8WSI32LO,Total,117
MYE9STFT,MYE9STFT-6NAX20G7H,sysvol,17
MYE9STFT,MYE9STFT-6NAX20G7H,Total,17
MYE9STFT,MYE9STFT-XE1PX5TU2,sysvol,47
MYE9STFT,MYE9STFT-XE1PX5TU2,Total,47
MYE9STFT,MYE9STFT-1I5VMJWZV,sysvol,47
MYE9STFT,MYE9STFT-1I5VMJWZV,Total,47
MYE9STFT,-,Total,0
EDI3I2J5,EDI3I2J5-EVEYR34US,sysvol,21
EDI3I2J5,EDI3I2J5-EVEYR34US,Total,21
EDI3I2J5,EDI3I2J5-8O7SVXM30,sysvol,27
EDI3I2J5,EDI3I2J5-8O7SVXM30,Total,27
EDI3I2J5,-,Total,0
9X3IOOUO,9X3IOOUO-0H54LY140,sysvol,34
9X3IOOUO,9X3IOOUO-0H54LY140,EX_DISK,10
9X3IOOUO,9X3IOOUO-0H54LY140,Total,44
9X3IOOUO,9X3IOOUO-M3RQFR8T7,sysvol,67
9X3IOOUO,9X3IOOUO-M3RQFR8T7,Total,67
9X3IOOUO,9X3IOOUO-S9WRYOGJL,sysvol,127
9X3IOOUO,9X3IOOUO-S9WRYOGJL,BACKUP,10
9X3IOOUO,9X3IOOUO-S9WRYOGJL,Total,137
9X3IOOUO,-,Total,0
0BCCQKBX,0BCCQKBX-M3RP7DSR1,sysvol,147
0BCCQKBX,0BCCQKBX-M3RP7DSR1,Total,147
0BCCQKBX,0BCCQKBX-Q7UOL0K2B,sysvol,114
0BCCQKBX,0BCCQKBX-Q7UOL0K2B,EX_DISK,10
0BCCQKBX,0BCCQKBX-Q7UOL0K2B,Total,124
0BCCQKBX,0BCCQKBX-XE20BZ0OC,sysvol,134
0BCCQKBX,0BCCQKBX-XE20BZ0OC,EX_DISK,10
0BCCQKBX,0BCCQKBX-XE20BZ0OC,Total,144
0BCCQKBX,0BCCQKBX-3K71YBOT3,sysvol,164
0BCCQKBX,0BCCQKBX-3K71YBOT3,EX_DISK,10
0BCCQKBX,0BCCQKBX-3K71YBOT3,Total,174
0BCCQKBX,0BCCQKBX-DUH615Z5R,sysvol,97
0BCCQKBX,0BCCQKBX-DUH615Z5R,Total,97
0BCCQKBX,-,Total,0
VFJPX0I6,VFJPX0I6-FWIMFVZAU,sysvol,104
VFJPX0I6,VFJPX0I6-FWIMFVZAU,Total,104
VFJPX0I6,VFJPX0I6-5M8QLCKIW,sysvol,157
VFJPX0I6,VFJPX0I6-5M8QLCKIW,Total,157
VFJPX0I6,VFJPX0I6-IZLOCSI0R,sysvol,117
VFJPX0I6,VFJPX0I6-IZLOCSI0R,Total,117
VFJPX0I6,-,Total,0
5MGC9FC8,5MGC9FC8-5M5E5EP94,sysvol,127
5MGC9FC8,5MGC9FC8-5M5E5EP94,Total,127
5MGC9FC8,5MGC9FC8-ARE33ZKAS,sysvol,27
5MGC9FC8,5MGC9FC8-ARE33ZKAS,Total,27
5MGC9FC8,-,Total,0
GYTMVJ8D,GYTMVJ8D-S8RLVW6XT,sysvol,7
GYTMVJ8D,GYTMVJ8D-S8RLVW6XT,Total,7
GYTMVJ8D,-,Total,0
KDAUT0Z8,KDAUT0Z8-2J6TK1ESR,sysvol,17
KDAUT0Z8,KDAUT0Z8-2J6TK1ESR,Total,17
KDAUT0Z8,KDAUT0Z8-8PCYY2LES,sysvol,27
KDAUT0Z8,KDAUT0Z8-8PCYY2LES,Total,27
KDAUT0Z8,KDAUT0Z8-K1OB3MS3U,sysvol,57
KDAUT0Z8,KDAUT0Z8-K1OB3MS3U,Total,57
KDAUT0Z8,KDAUT0Z8-N4REE24XY,sysvol,44
KDAUT0Z8,KDAUT0Z8-N4REE24XY,Total,44
KDAUT0Z8,KDAUT0Z8-9QDHBZW1L,sysvol,47
KDAUT0Z8,KDAUT0Z8-9QDHBZW1L,Total,47
KDAUT0Z8,KDAUT0Z8-6NAXO4N4G,sysvol,17
KDAUT0Z8,KDAUT0Z8-6NAXO4N4G,Total,17
KDAUT0Z8,-,Total,0
0BPVC05Z,0BPVC05Z-YF301BSFL,sysvol,134
0BPVC05Z,0BPVC05Z-YF301BSFL,Total,134
0BPVC05Z,-,Total,0
0L4SIRAR,0L4SIRAR-HYH0SKWY6,sysvol,27
0L4SIRAR,0L4SIRAR-HYH0SKWY6,Total,27
0L4SIRAR,0L4SIRAR-M2LCFKV1R,sysvol,7
0L4SIRAR,0L4SIRAR-M2LCFKV1R,Total,7
0L4SIRAR,-,Total,0
MFIMHMMW,MFIMHMMW-K1PN2ZI3Q,sysvol,57
MFIMHMMW,MFIMHMMW-K1PN2ZI3Q,Total,57
MFIMHMMW,-,Total,0
BHB1JNRX,BHB1JNRX-R7Q0XKBUR,sysvol,34
BHB1JNRX,BHB1JNRX-R7Q0XKBUR,EX_DISK,10
BHB1JNRX,BHB1JNRX-R7Q0XKBUR,Total,44
BHB1JNRX,BHB1JNRX-4L6ZQ9PB9,sysvol,27
BHB1JNRX,BHB1JNRX-4L6ZQ9PB9,EX_DISK,10
BHB1JNRX,BHB1JNRX-4L6ZQ9PB9,Total,37
BHB1JNRX,-,Total,0
YX2R321K,YX2R321K-3K87QBPML,sysvol,47
YX2R321K,YX2R321K-3K87QBPML,Total,47
YX2R321K,-,Total,0
WPXRTSVL,WPXRTSVL-ARFE11XUF,sysvol,174
WPXRTSVL,WPXRTSVL-ARFE11XUF,EX_DISK,10
WPXRTSVL,WPXRTSVL-ARFE11XUF,Total,184
WPXRTSVL,-,Total,0
UD028MNB,UD028MNB-J0NC48SWK,sysvol,354
UD028MNB,UD028MNB-J0NC48SWK,Total,354
UD028MNB,-,Total,0
Z56YA5D9,Z56YA5D9-Q7UY3K595,sysvol,7
Z56YA5D9,Z56YA5D9-Q7UY3K595,Total,7
Z56YA5D9,-,Total,0
8TNNPM4T,8TNNPM4T-BRAQDQ91D,sysvol,34
8TNNPM4T,8TNNPM4T-BRAQDQ91D,BACKUP,10
8TNNPM4T,8TNNPM4T-BRAQDQ91D,Total,44
8TNNPM4T,-,Total,0
EVXKH7EF,EVXKH7EF-UBUD0SW13,sysvol,27
EVXKH7EF,EVXKH7EF-UBUD0SW13,EX_DISK,10
EVXKH7EF,EVXKH7EF-UBUD0SW13,Total,37
EVXKH7EF,EVXKH7EF-HYMK3BW6B,sysvol,57
EVXKH7EF,EVXKH7EF-HYMK3BW6B,BACKUP,10
EVXKH7EF,EVXKH7EF-HYMK3BW6B,Total,67
EVXKH7EF,-,Total,0
ZYW25RVY,ZYW25RVY-CTHFHNTVT,sysvol,174
ZYW25RVY,ZYW25RVY-CTHFHNTVT,EX_DISK,10
ZYW25RVY,ZYW25RVY-CTHFHNTVT,Total,184
ZYW25RVY,-,Total,0
BDTRGI7H,BDTRGI7H-1I5T60O95,sysvol,207
BDTRGI7H,BDTRGI7H-1I5T60O95,Total,207
BDTRGI7H,-,Total,0
QINK2KO2,QINK2KO2-0H4V7E5WO,sysvol,27
QINK2KO2,QINK2KO2-0H4V7E5WO,Total,27
QINK2KO2,QINK2KO2-CTG7J5ZHF,sysvol,27
QINK2KO2,QINK2KO2-CTG7J5ZHF,Total,27
QINK2KO2,-,Total,0
GWR0Y8JD,GWR0Y8JD-N3C6X47LF,sysvol,14
GWR0Y8JD,GWR0Y8JD-N3C6X47LF,Total,14
GWR0Y8JD,GWR0Y8JD-BR278ZD7O,sysvol,24
GWR0Y8JD,GWR0Y8JD-BR278ZD7O,EX_DISK,10
GWR0Y8JD,GWR0Y8JD-BR278ZD7O,Total,34
GWR0Y8JD,-,Total,0
XG2AL70E,XG2AL70E-M2L5OBF3F,sysvol,7
XG2AL70E,XG2AL70E-M2L5OBF3F,Total,7
XG2AL70E,-,Total,0
